id,title,status,user_score,watchd_ep,total_ep,airing_status,media_type,mpaa_rating,start_date,end_date
37982,Domestic na Kanojo,Watching,<undefined>,4,12,Finished Airing,TV,R+,12-Jan-2019,30-Mar-2019
41491,Nanatsu no Taizai: Fundo no Shinpan,Watching,<undefined>,21,24,Currently Airing,TV,PG-13,13-Jan-2021,23-Jun-2021
38101,5-toubun no Hanayome,Completed,7,12,12,Finished Airing,TV,PG-13,11-Jan-2019,29-Mar-2019
39783,5-toubun no Hanayome ∬,Completed,7,12,12,Finished Airing,TV,PG-13,08-Jan-2021,26-Mar-2021
32998,91 Days,Completed,10,12,12,Finished Airing,TV,R,09-Jul-2016,01-Oct-2016
34777,"91 Days: Toki no Asase/Subete no Kinou/Ashita, Mata Ashita",Completed,5,1,1,Finished Airing,Special,R,05-Jul-2017,05-Jul-2017
39790,Adachi to Shimamura,Completed,7,12,12,Finished Airing,TV,PG-13,09-Oct-2020,25-Dec-2020
22199,Akame ga Kill!,Completed,6,24,24,Finished Airing,TV,R,07-Jul-2014,15-Dec-2014
47,Akira,Completed,3,1,1,Finished Airing,Movie,R+,16-Jul-1988,16-Jul-1988
41433,Akudama Drive,Completed,7,12,12,Finished Airing,TV,R,08-Oct-2020,24-Dec-2020
2832,Ani*Kuri15,Completed,4,15,15,Finished Airing,Special,PG-13,07-Jun-2007,27-Jun-2007
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Completed,6,11,11,Finished Airing,TV,PG-13,15-Apr-2011,24-Jun-2011
11111,Another,Completed,8,12,12,Finished Airing,TV,R,10-Jan-2012,27-Mar-2012
20365,Another: Misaki Mei - Shizukani,Completed,2,1,1,Finished Airing,Music,G,29-Mar-2013,29-Mar-2013
11701,Another: The Other - Inga,Completed,5,1,1,Finished Airing,OVA,R,26-May-2012,26-May-2012
40128,Arte,Completed,7,12,12,Finished Airing,TV,PG-13,04-Apr-2020,20-Jun-2020
43745,Attack Zero x Evangelion,Completed,2,1,1,Finished Airing,ONA,G,02-Nov-2020,02-Nov-2020
43751,"Ayanami Rei, Hajimete no Kuchibeni",Completed,2,1,1,Finished Airing,ONA,G,03-Nov-2020,03-Nov-2020
37525,Babylon,Completed,8,12,12,Finished Airing,TV,R,07-Oct-2019,28-Jan-2020
28805,Bakemono no Ko,Completed,7,1,1,Finished Airing,Movie,PG-13,11-Jul-2015,11-Jul-2015
5081,Bakemonogatari,Completed,5,15,15,Finished Airing,TV,R,03-Jul-2009,25-Jun-2010
2156,Bakugan Battle Brawlers,Completed,2,52,52,Finished Airing,TV,PG,05-Apr-2007,27-Mar-2008
1669,Bakuten Shoot Beyblade 2002,Completed,3,51,51,Finished Airing,TV,PG,07-Jan-2002,30-Dec-2002
39195,Beastars,Completed,8,12,12,Finished Airing,TV,R,10-Oct-2019,26-Dec-2019
40935,Beastars 2nd Season,Completed,8,12,12,Finished Airing,TV,R,07-Jan-2021,25-Mar-2021
889,Black Lagoon,Completed,6,12,12,Finished Airing,TV,R,09-Apr-2006,25-Jun-2006
8440,Black Lagoon Omake,Completed,2,7,7,Finished Airing,Special,PG-13,23-Dec-2009,25-Mar-2010
4901,Black Lagoon: Roberta's Blood Trail,Completed,6,5,5,Finished Airing,OVA,R+,27-Jun-2010,22-Jun-2011
1519,Black Lagoon: The Second Barrage,Completed,7,12,12,Finished Airing,TV,R,03-Oct-2006,19-Dec-2006
269,Bleach,Completed,5,366,366,Finished Airing,TV,PG-13,05-Oct-2004,27-Mar-2012
31043,Boku dake ga Inai Machi,Completed,8,12,12,Finished Airing,TV,R,08-Jan-2016,25-Mar-2016
31964,Boku no Hero Academia,Completed,6,13,13,Finished Airing,TV,PG-13,03-Apr-2016,26-Jun-2016
33486,Boku no Hero Academia 2nd Season,Completed,7,25,25,Finished Airing,TV,PG-13,01-Apr-2017,30-Sep-2017
36456,Boku no Hero Academia 3rd Season,Completed,7,25,25,Finished Airing,TV,PG-13,07-Apr-2018,29-Sep-2018
38408,Boku no Hero Academia 4th Season,Completed,6,25,25,Finished Airing,TV,PG-13,12-Oct-2019,04-Apr-2020
42603,Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,Completed,5,2,2,Finished Airing,ONA,PG-13,16-Aug-2020,16-Aug-2020
1639,Boku no Pico,Completed,1,1,1,Finished Airing,OVA,Rx,07-Sep-2006,07-Sep-2006
28755,Boruto: Naruto the Movie,Completed,6,1,1,Finished Airing,Movie,PG-13,07-Aug-2015,07-Aug-2015
32365,Boruto: Naruto the Movie - Naruto ga Hokage ni Natta Hi,Completed,5,1,1,Finished Airing,Special,PG-13,06-Jul-2016,06-Jul-2016
31478,Bungou Stray Dogs,Completed,6,12,12,Finished Airing,TV,R,07-Apr-2016,23-Jun-2016
32867,Bungou Stray Dogs 2nd Season,Completed,6,12,12,Finished Airing,TV,R,06-Oct-2016,16-Dec-2016
38003,Bungou Stray Dogs 3rd Season,Completed,6,12,12,Finished Airing,TV,R,12-Apr-2019,28-Jun-2019
34944,Bungou Stray Dogs: Dead Apple,Completed,4,1,1,Finished Airing,Movie,R,03-Mar-2018,03-Mar-2018
33071,Bungou Stray Dogs: Hitori Ayumu,Completed,5,1,1,Finished Airing,OVA,PG-13,04-Aug-2017,04-Aug-2017
1689,Byousoku 5 Centimeter,Completed,8,3,3,Finished Airing,Movie,PG-13,03-Mar-2007,03-Mar-2007
10012,Carnival Phantasm,Completed,2,12,12,Finished Airing,OVA,PG-13,14-Aug-2011,31-Dec-2011
12187,Carnival Phantasm EX Season,Completed,2,1,1,Finished Airing,OVA,PG-13,26-Nov-2011,26-Nov-2011
15927,Carnival Phantasm: HibiChika Special,Completed,2,1,1,Finished Airing,Special,PG-13,07-Jul-2012,07-Jul-2012
12255,Carnival Phantasm: Illya-jou,Completed,1,1,1,Finished Airing,Special,PG,28-Oct-2011,28-Oct-2011
10800,Chihayafuru,Completed,7,25,25,Finished Airing,TV,PG-13,05-Oct-2011,28-Mar-2012
14397,Chihayafuru 2,Completed,6,25,25,Finished Airing,TV,PG-13,12-Jan-2013,29-Jun-2013
18745,Chihayafuru 2: Waga Miyo ni Furu Nagame Shima ni,Completed,3,1,1,Finished Airing,OVA,PG-13,13-Sep-2013,13-Sep-2013
37379,Chihayafuru 3,Completed,7,24,24,Finished Airing,TV,PG-13,23-Oct-2019,25-Mar-2020
15687,Chuunibyou demo Koi ga Shitai! Lite,Completed,4,6,6,Finished Airing,ONA,PG-13,27-Sep-2012,31-Oct-2012
2167,Clannad,Completed,5,23,23,Finished Airing,TV,PG-13,05-Oct-2007,28-Mar-2008
1723,Clannad Movie,Completed,4,1,1,Finished Airing,Movie,PG-13,15-Sep-2007,15-Sep-2007
